id,description,Ratings,Avg
1,Breakfast Stout,"17,744",4.55
,Founders Brewing Company,,
,Stout - Oatmeal | 8.30%,,
2,90 Minute IPA,"16,337",4.3
,Dogfish Head Craft Brewery,,
,IPA - Imperial | 9.00%,,
3,Two Hearted Ale,"15,536",4.3
,Bell's Brewery - Eccentric Café & General Store,,
,IPA - American | 7.00%,,
4,Pliny The Elder,"15,436",4.69
,Russian River Brewing Company,,
,IPA - Imperial | 8.00%,,
5,Heady Topper,"14,953",4.76
,The Alchemist,,
,IPA - New England | 8.00%,,
6,Sculpin,"14,580",4.41
,Ballast Point Brewing Company,,
,IPA - American | 7.00%,,
7,KBS (Kentucky Breakfast Stout),"13,986",4.65
,Founders Brewing Company,,
,Stout - American Imperial | 12.30%,,
8,Hopslam Ale,"13,918",4.49
,Bell's Brewery - Eccentric Café & General Store,,
,IPA - Imperial | 10.00%,,
9,Bourbon County Brand Stout,"13,247",4.66
,Goose Island Beer Co.,,
,Stout - American Imperial | 14.70%,,
10,Old Rasputin,"12,913",4.33
,North Coast Brewing Co.,,
,Stout - Russian Imperial | 9.00%,,
11,60 Minute IPA,"12,114",4.1
,Dogfish Head Craft Brewery,,
,IPA - American | 6.00%,,
12,Pale Ale,"12,046",4.05
,Sierra Nevada Brewing Co.,,
,Pale Ale - American | 5.60%,,
13,Stone IPA,"11,669",4.22
,Stone Brewing,,
,IPA - American | 6.90%,,
14,Torpedo Extra IPA,"11,556",4.17
,Sierra Nevada Brewing Co.,,
,IPA - American | 7.20%,,
15,Enjoy By IPA,"11,181",4.44
,Stone Brewing,,
,IPA - Imperial | 9.40%,,
16,Zombie Dust,"11,096",4.62
,3 Floyds Brewing Co.,,
,Pale Ale - American | 6.20%,,
17,Arrogant Bastard Ale,"11,081",4.18
,Arrogant Consortia,,
,Strong Ale - American | 7.20%,,
18,Celebration Fresh Hop IPA,"10,776",4.17
,Sierra Nevada Brewing Co.,,
,IPA - American | 6.80%,,
19,La Fin Du Monde,"10,580",4.36
,Unibroue,,
,Tripel | 9.00%,,
20,Lagunitas Sucks,"10,507",4.35
,Lagunitas Brewing Company,,
,IPA - Imperial | 7.85%,,
21,Ten FIDY,"10,232",4.4
,Oskar Blues Grill & Brew,,
,Stout - American Imperial | 10.50%,,
22,Abt 12,"10,149",4.5
,Brouwerij St. Bernardus NV,,
,Quadrupel (Quad) | 10.00%,,
23,Trappistes Rochefort 10,"9,811",4.55
,Brasserie de Rochefort,,
,Quadrupel (Quad) | 11.30%,,
24,Samuel Adams Boston Lager,"9,784",3.76
,Boston Beer Company (Samuel Adams),,
,Lager - Vienna | 5.00%,,
25,IPA,"9,490",3.91
,Lagunitas Brewing Company,,
,IPA - American | 6.20%,,
26,A Little Sumpin' Sumpin' Ale,"9,467",4.22
,Lagunitas Brewing Company,,
,IPA - American | 7.50%,,
27,Fat Tire Amber Ale,"9,284",3.61
,New Belgium Brewing Company,,
,Red Ale - American Amber / Red | 5.20%,,
28,Jai Alai IPA,"8,994",4.29
,Cigar City Brewing,,
,IPA - American | 7.50%,,
29,Hefeweissbier,"8,990",4.45
,Bayerische Staatsbrauerei Weihenstephan,,
,Wheat Beer - Hefeweizen | 5.40%,,
30,Centennial IPA,"8,841",4.14
,Founders Brewing Company,,
,IPA - American | 7.20%,,
31,Backwoods Bastard,"8,823",4.38
,Founders Brewing Company,,
,Scotch Ale / Wee Heavy | 11.20%,,
32,Nugget Nectar,"8,815",4.33
,Tröegs Brewing Company,,
,Red Ale - Imperial | 7.50%,,
33,120 Minute IPA,"8,755",4.18
,Dogfish Head Craft Brewery,,
,IPA - Imperial | 18.00%,,
34,Guinness Draught,"8,490",3.6
,Guinness Ltd.,,
,Stout - Irish Dry | 4.20%,,
35,Duvel,"8,358",4.29
,Brouwerij Duvel Moortgat NV,,
,Strong Ale - Belgian Pale | 8.50%,,
36,Bleue (Blue),"8,197",4.33
,Bières de Chimay,,
,Strong Ale - Belgian Dark | 9.00%,,
37,Dirty Bastard,"8,096",4.07
,Founders Brewing Company,,
,Scotch Ale / Wee Heavy | 8.50%,,
38,West Coast IPA,"8,063",4.24
,Green Flash Brewing Co.,,
,IPA - Imperial | 8.10%,,
39,Samuel Adams Octoberfest,"8,055",3.68
,Boston Beer Company (Samuel Adams),,
,Lager - Märzen / Oktoberfest | 5.30%,,
40,Imperial Stout,"8,054",4.38
,Founders Brewing Company,,
,Stout - Russian Imperial | 10.50%,,
41,Hop Stoopid,"8,016",4.21
,Lagunitas Brewing Company,,
,IPA - Imperial | 8.00%,,
42,Dead Guy Ale,"8,014",3.96
,Rogue Ales,,
,Bock - Maibock | 6.80%,,
43,Racer 5,"7,991",4.2
,Bear Republic Brewing Co.,,
,IPA - American | 7.50%,,
44,Porter,"7,903",4.27
,Founders Brewing Company,,
,Porter - Robust | 6.50%,,
45,All Day IPA,"7,889",3.89
,Founders Brewing Company,,
,IPA - American | 4.70%,,
46,Pumking,"7,822",4.13
,Southern Tier Brewing Company,,
,Pumpkin Beer | 8.60%,,
47,Bigfoot,"7,819",4.17
,Sierra Nevada Brewing Co.,,
,Barleywine - American | 9.60%,,
48,Dale's Pale Ale,"7,789",3.9
,Oskar Blues Grill & Brew,,
,Pale Ale - American | 6.50%,,
49,Double Jack,"7,643",4.34
,Firestone Walker Brewing Co.,,
,IPA - Imperial | 9.50%,,
50,Blue Moon Belgian White,"7,641",3.44
,Coors Brewing Company (Molson-Coors),,
,Wheat Beer - Witbier | 5.40%,,
51,HopDevil,"7,592",4.08
,Victory Brewing Company - Downingtown,,
,IPA - American | 6.70%,,
52,The Abyss,"7,509",4.5
,Deschutes Brewery,,
,Stout - American Imperial | 11.40%,,
53,Oberon Ale,"7,291",3.84
,Bell's Brewery - Eccentric Café & General Store,,
,Wheat Beer - American Pale | 5.80%,,
54,Speedway Stout,"7,191",4.4
,AleSmith Brewing Company,,
,Stout - American Imperial | 12.00%,,
55,Victory At Sea - Coffee And Vanilla,"7,147",4.41
,Ballast Point Brewing Company,,
,Porter - Imperial | 10.00%,,
56,Parabola,"7,128",4.64
,Firestone Walker Brewing Co.,,
,Stout - Russian Imperial | 13.00%,,
57,Milk Stout,"7,094",4
,Left Hand Brewing Company,,
,Stout - Sweet / Milk | 6.00%,,
58,Union Jack IPA,"7,077",4.24
,Firestone Walker Brewing Co.,,
,IPA - American | 7.00%,,
59,Traditional Lager,"7,021",3.42
,Yuengling Brewery,,
,Lager - American Amber / Red | 4.50%,,
60,Oatmeal Stout,"7,010",4.23
,Samuel Smith Old Brewery (Tadcaster),,
,Stout - Oatmeal | 5.00%,,
61,Black Chocolate Stout,"6,955",4.17
,Brooklyn Brewery,,
,Stout - Russian Imperial | 10.00%,,
62,Alpha King,"6,937",4.26
,3 Floyds Brewing Co.,,
,Pale Ale - American | 6.66%,,
63,Ayinger Celebrator,"6,915",4.37
,Ayinger Privatbrauerei,,
,Bock - Doppelbock | 6.70%,,
64,Punkin Ale,"6,846",3.95
,Dogfish Head Craft Brewery,,
,Pumpkin Beer | 7.00%,,
65,Edmund Fitzgerald,"6,839",4.26
,Great Lakes Brewing Co.,,
,Porter - American | 6.00%,,
66,DirtWolf,"6,831",4.3
,Victory Brewing Company - Downingtown,,
,IPA - Imperial | 8.70%,,
67,Double Bastard Ale,"6,813",4.29
,Arrogant Consortia,,
,Strong Ale - American | 11.00%,,
68,Three Philosophers,"6,785",4.18
,Brewery Ommegang,,
,Quadrupel (Quad) | 9.70%,,
69,Budweiser,"6,780",2.34
,Anheuser-Busch,,
,Lager - Adjunct | 5.00%,,
70,Trappist Westvleteren 12 (XII),"6,772",4.66
,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),,
,Quadrupel (Quad) | 10.20%,,
71,Burton Baton,"6,745",4.25
,Dogfish Head Craft Brewery,,
,IPA - Imperial | 10.00%,,
72,Double Trouble,"6,674",4.21
,Founders Brewing Company,,
,IPA - Imperial | 9.40%,,
