breweryName,breweryCity,breweryState
Bridge and Tunnel Brewery,"Ridgewood, Queens",NY
Brooklyn Brewery,"Williamsburg, Brooklyn",NY
Brooklyn Kura,"Sunset Park, Brooklyn",NY
Coney Island Brewing Company,"Coney Island, Brooklyn",NY
DaleView Buscuits and Beer,"Flatbush, Brooklyn",NY
Ellicottville Brewing Company ,"Ellicottville, Bemus Point, and Fredonia",NY
Folksbier Brewery,"Carroll Gardens, Brooklyn",NY
Interboro Spirits & Ales,"East Williamsburg, Brooklyn",NY
Keg & Lantern Brewing Company,"Greenpoint, Brooklyn",NY
Strong Rope Brewery,"Gowanus, Brooklyn",NY
Threes Brewing,"Gowanus, Brooklyn",NY
Waikiki Brewing Company,"Waikīkī, Honolulu",HI
Honolulu Beerworks,"Kaka‘ako, Honolulu",HI
Beer Lab HI,"Mō‘ili‘ili, Honolulu",HI
Aloha Beer Company,"Kaka‘ako, Honolulu",HI
Home of the Brave Beverage Co,"Kaka‘ako, Honolulu",HI
2 Fools Cider,"Apple cider brewery and taproom in Naperville, opened in 2016.",IL
25 O'Clock Brewing Company,"Urbana, opened in 2017, added a taprooom in 2018.",IL
350 Brewing Company,"Tinley Park, opened in 2014.",IL
5 Rabbit Cervecería,"Founded in Chicago in 2011. Originally the beer was contract brewed. They opened their own brewery in Bedford Park in 2012, and added a taproom in 2014.",IL
57 70 Brewery,"Teutopolis, opened in 2018.",IL
718 Brew Cafe,"Metropolis, opened in 2016.",IL
93 Octane Brewery,"St. Charles, opened in 2019.",IL
Afterthought Brewing Company,"Nanobrewery in Lombard, opened in 2017.",IL
Alarmist Brewing,"Chicago, opened in 2015. Added a taproom in 2017.",IL
Aleman Brewing Company,"Chicago, founded in 2013. Initially the beer was contract brewed. Opened their own brewery in 2016.",IL
All Rise Brewing Company,"The brewery began operations in 2014, inside the existing Cobra Lounge in Chicago.",IL
Alter Brewing Company,"Downers Grove, opened in 2015. Added a canning line in 2017.",IL
Alulu,"Chicago, opened in 2017.",IL
Anvil & Forge Brewing and Distilling,"Springfield, opened in 2018.",IL
Apple Knocker Hard Cider,"Cider brewery in Cobden, opened in 2012.",IL
Arrowhead Ales Brewing Company,"New Lenox, opened in 2016.",IL
Art History Brewing,"Geneva, opened in 2020.",IL
Bearded Owl Brewing,"Peoria, opened in 2018.",IL
Begyle Brewing Company,"Chicago, opened in 2012. The taproom opened in 2015.",IL
Belly Up Beer Company,"Western Springs, opened in 2016.",IL
Bent River Brewing Company,"Brewpub in Moline, bottling line and taproom in Rock Island. Founded in 1997.",IL
Big Muddy Brewing,"Murphysboro, founded in 2009.",IL
Big Thorn Brewery,"Georgetown, opened in 2016.",IL
Birreria Chicago,"Chicago, opened in 2013 inside Eataly Chicago.",IL
Bixi Beer,"Chicago, opened in 2018.",IL
Black & Gray Brewing Company,"East Dundee, opened in 2019.",IL
Black Horizon Brewing Company,"Willowbrook, opened in 2017.",IL
Blue Island Beer Company,"Blue Island, opened in 2015.",IL
Bosacki's Brewery,"Mundelein, opened in 2016.",IL
BrickStone Restaurant & Brewery,"Bourbonnais, opened in 2006.",IL
Brother Chimp Brewing,"North Aurora, opened in 2020.",IL
Brothership Brewing,"Mokena, opened in 2020.",IL
BuckleDown Brewing,"Lyons, opened in 2013.",IL
Buffalo Creek Brewing,"Long Grove, opened in 2017.",IL
Burning Bush Brewery,"Chicago, opened in 2020.",IL
Buzz Bomb Brewing Company,"Springfield, opened in 2018. Added a second brewery, in Illiopolis, later that year.",IL
Carbondale Craft Beer,"Ava, makers of Little Egypt beer, founded in 2012.",IL
Carlyle Brewing Company,"Rockford, opened in 2003.",IL
Church Street Brewing Company,"Itasca, opened in 2012.",IL
Corridor Brewery & Provisions,"Chicago, opened in 2015. Added a canning line in 2017.",IL
Crushed by Giants,"Chicago, opened in 2020.",IL
Cruz Blanca,"Founded by chef Rick Bayless in 2015, the beer was originally contract brewed. The brewpub in Chicago opened in 2016.",IL
Crystal Lake Brewing,"Crystal Lake, opened in 2014.",IL
D and G Brewing Company,"St. Charles, opened in 2018.",IL
Decatur Brew Works,"Decatur, opened in 2016.",IL
District Brew Yards,"Chicago, opened in 2019 as a brewery run cooperatively by three brewing companies – Burnt City Brewing, Around the Bend Beer Company, and Bold Dog Beer Company. Added a fourth company, Casa Humilde Cervecería Artesanal, later that year.",IL
Door 4 Brewing Company,"Decatur, opened in 2017.",IL
Dovetail Brewery,"Chicago, opened in 2016.",IL
Dry City Brew Works,"Wheaton, opened in 2014.",IL
DryHop Brewers,"Chicago, opened in 2013.",IL
Effing Brew Company,"Effingham, opened in 2018.",IL
Elder Brewing Company,"Joliet, opened in 2017.",IL
Elmhurst Brewing Company,"Elmhurst, opened in 2018.",IL
Emancipation Brewing Company,"Fairbury, opened in 2019.",IL
Emmett's Brewing Company,"West Dundee, Palatine, Downers Grove, Wheaton; founded in 1998.",IL
Empirical Brewery,"Chicago, opened in 2014. In 2015 they added a taproom.",IL
Energy City Brewing,"Batavia, opened in 2017.",IL
Engrained Brewing Company,"Springfield, opened in 2013.",IL
Eris Brewery and Cider House,"Cider and beer brewery and restaurant in Chicago, opened in 2018.",IL
Evil Horse Brewing Company,"Crete, opened in 2016.",IL
Excel Brewing Company,"Breese. Founded as a soft drink company in 1936, Excel Bottling Company started brewing beer in 2012.",IL
Exit Strategy Brewing Company,"Forest Park, opened in 2015.",IL
Fibs Brewing Company,"Des Plaines, opened in 2019.",IL
Finch Beer Company,"Chicago. Opened in 2011 as Finch's Beer Company. In 2016 they changed their name to Finch Beer Company and opened a brewpub at a second location, which closed later that year. In 2017 they bought the Like Minds brewery and moved their operations there. In 2020 they opened a brewpub called The Perch at a separate location.",IL
First Forest Brewing Company,"Hodgkins, opened in 2021.",IL
Flapjack Brewery,"Berwyn, opened in 2017.",IL
Flossmoor Station Brewing Company,"Flossmoor. Brewpub opened in 1996, bottling operation started in 2008.",IL
Forbidden Root,"Founded in Chicago in 2013, the beer was initially brewed at various locations. The brewpub opened in 2016.",IL
Forgottonia Brewing,"Macomb, opened in 2019.",IL
Garage Band Brewing,"Plainfield, opened in 2019.",IL
Generations Brewing Company,"Freeport, opened in 2014.",IL
Geneseo Brewing Company,"Geneseo, opened in 2015.",IL
Golden Fox Brewing,"Decatur, opened in 2018.",IL
Goldfinger Brewing Company,"Downers Grove, opened in 2020.",IL
Goose Island Beer Company,"Founded in Chicago in 1988 as a brewpub on Clybourn Avenue, Goose Island opened a bottling plant on Fulton Street in 1995, and a second brewpub, in the Wrigleyville neighborhood, in 1999. The production brewery and its beers, but not the brewpubs, were purchased by Anheuser-Busch InBev in 2011. Goose Island now has national distribution, and some of the beer is produced at other breweries. A brewery taproom opened in 2015. The Wrigleyville brewpub closed in 2015. The Clybourn Avenue brewpub was bought by AB InBev in 2016.",IL
Granite City Food & Brewery,"With its headquarters in Minneapolis, Minnesota, Granite City operates several dozen brewpubs in the Midwest, including two in Illinois, in Naperville and Schaumburg.",IL
Great Central Brewing Company,"Contract brewery in Chicago, opened in 2016. The taproom opened in 2017.",IL
Greenstar Brewing,"Located at the Uncommon Ground restaurant in Chicago, Greenstar began production in 2014 as the first organic brewery in Illinois.",IL
Hailstorm Brewing,"Tinley Park, opened in 2014.",IL
Hairy Cow Brewing Company,"Byron, opened in 2018.",IL
Half Acre Beer Company,"Half Acre was founded in 2007, with the beer initially contract brewed in Wisconsin. The brewery on Lincoln Avenue in Chicago started production in 2009, and the tap room opened in 2012. In 2015, a second, larger brewery started production on Balmoral Avenue, a mile and a half from the first location. The Lincoln Avenue tap room added a kitchen in 2016. The Balmoral Avenue brewery added a brewpub in 2017.",IL
Half Day Brewing Company,"Lincolnshire, opened in 2016.",IL
Hand of Fate Brewing Company,"Petersburg, opened in 2016.",IL
Harbor Brewing Company,"Winthrop Harbor, opened in 2018.",IL
Hardware,"Brewpub in North Aurora, opened in 2016, home of BBGB Brewery and Hop Farm..",IL
Haymarket Pub & Brewery,"The brewpub in Chicago opened in 2010. The second brewpub and production brewery in Bridgman, Michigan opened in 2017.",IL
Hickory Creek Brewing Company,"New Lenox, opened in 2018.",IL
Hofbräuhaus,"Hofbräuhaus Chicago opened in Rosemont in 2013 and closed in 2021. Hofbräuhaus St. Louis opened in Belleville in 2018. The brewpub is part of an international chain licensed by the original Hofbräuhaus in Munich, Germany.",IL
Holzlager Brewing Company,"Woodstock, opened in 2019.",IL
The Hop Brewery,"Christopher, opened in 2017.",IL
Hopewell Brewing Company,"Chicago, opened in 2016.",IL
Hopskeller Brewing Company,"Waterloo, opened in 2016.",IL
Hopvine Brewing Company,"Aurora, opened in 2013.",IL
Horse Thief Hollow,"Chicago, opened in 2013.",IL
Ike & Oak Brewing Company,"Woodridge, opened in 2019.",IL
Illuminated Brew Works,"Chicago, opened in 2014.",IL
Industry Brewing Company,"Peoria, opened in 2017.",IL
Iron Spike Brewing Company,"Galesburg, opened in 2014, added a canning line in 2016.",IL
Itasca Brewing Company,"Itasca, opened in 2017.",IL
Jolly Pumpkin Artisan Ales,"Jolly Pumpkin was founded in Dexter, Michigan in 2004, and now has several locations. The Chicago brewpub opened in 2017. Most of the beer there comes from the Dexter brewery, but some is brewed onsite.",IL
JT Walker's Brewery,"Mahomet, opened in 2013.",IL
Keg Grove Brewing Company,"Bloomington, opened in 2018.",IL
Kennay Farms Distilling,"Farm-to-glass distillery and brewery in Rochelle, opened in 2019.",IL
Kings & Convicts Brewing Company,"Highwood, opened in 2017. In 2019 they acquired Ballast Point Brewing Company.",IL
Kinslahger Brewing Company,"Oak Park, opened in 2016.",IL
Kishwaukee Brewing Company,"Woodstock, opened in 2020.",IL
Knox County Brewing Company,"Galesburg, opened in 2018.",IL
Lagunitas Brewing Company,"Founded in 1993, and based in Petaluma, California since 1994, Lagunitas built a second brewery in Chicago in 2014, the largest in the city. The brewpub opened a few months later. In 2015 Heineken International purchased a 50% stake in the company, and in 2017 it purchased the other 50%.",IL
Lake Bluff Brewing Company,"Lake Bluff, opened in 2011.",IL
Lake Effect Brewing Company,"Chicago, opened in 2012.",IL
Lena Brewing Company,"Lena, opened in 2015.",IL
Lieferbräu Brewery,"Red Bud, opened in 2018.",IL
Light the Lamp Brewery,"Grayslake, opened in 2012.",IL
Lil Beaver Brewery,"Bloomington, opened in 2018.",IL
Lionstone Brewing,"Geneseo, opened in 2015.",IL
Liquid Love Brewing,"Buffalo Grove, opened in 2020.",IL
Lo-Rez Brewing,"Chicago, opened in 2016. Added a taproom in 2017.",IL
Lot 50 Brewing,"Paris, opened in 2018.",IL
The Lucky Monk,"South Barrington, opened in 2009.",IL
Lunar Brewing Company,"Villa Park, opened in 1998.",IL
Macushla Brewing Company,"Glenview, opened in 2017.",IL
Mad Hatchet Brewing,"Shorewood, opened in 2019.",IL
Maplewood Brewery & Distillery,"Founded in Chicago as Mercenary in 2014, renamed to Maplewood in 2015. The brewpub opened in 2017.",IL
Marz Community Brewing Company,"Chicago, opened in 2014. Moved to a new location in 2017, and added a brewpub in 2018. The Life on Marz Community Club nanobrewery and taproom, also in Chicago, opened in 2021.",IL
McHenry Brewing Company,"McHenry, opened in 2018.",IL
Metal Monkey Brewing,"Romeoville, opened in 2016.",IL
Metropolitan Brewing,"Chicago, founded in 2008. Moved to a new location and added a taproom in 2017.",IL
Mickey Finn's Brewery,"Libertyville, opened in 1994; moved to a new location in 2014.",IL
Middle Brow Beer Company,"Chicago, began production in 2014. The beer has been contract brewed at various breweries in the Chicago area. In 2019 they opened their own brewpub, called Bungalow. Some of their packaged beer is still produced under contract.",IL
Midwest Coast Brewing Company,"Chicago, opened in 2019.",IL
